,Rcolors,δRcolor,,"Voltage (v) ",δV,"Current (A)","δI (A)",,"Rohm (ohms)",δRohm,,"RDMM (ohms)",δRDMM,,,,,,,,,
Ra,990,49.5,,0.36,0.0005,0.00037999999999999997,9.999999999999999E-06,,947.3684210526317,26.246537396121884,,989,0.5,,,,,,,,,
Rb,495,24.75,,0.385,0.0005,0.0008,0.0001,,481.25,60.78125,,494.8,0.05,,,,,,,,,
Rc,1980,99,,0.39,0.0005,0.00019999999999999998,9.999999999999999E-06,,1950.0000000000002,100.00000000000003,,1982,0.5,,,,,,,,,
Rd,1485,74.25,,0.37,0.0005,0.00026,9.999999999999999E-06,,1423.076923076923,56.65680473372782,,1481,0.5,,,,,,,,,
,,,,,,,," ",,,,,,,,,,,,,,
,Rseries,δRseries,,,,,,,,,,,,,,,,,,,,
Series,1485,74.25,,0.378,0.0005,0.00026,9.999999999999999E-06,,1453.846153846154,57.84023668639054,,1485,0.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Rparallel,δRparallel,,,,,,,,,,,,,,,,,,,,
Parallel,848.5714285714286,42.42857142857143,,0.36,0.0005,0.00041999999999999996,9.999999999999999E-06,,857.1428571428572,21.598639455782312,,848,0.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Rmixed,δRmixed,,,,,,,,,,,,,,,,,,,,
mixed,3795,189.75,,0.385,0.0005,0.00010999999999999999,9.999999999999999E-06,,3500.0000000000005,322.7272727272728,,3792,0.5,,,,,,,,,
,330,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Series: ","Resitance A nd B connected in series",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Par:,"C and D in parallel",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Mix:,"D, series to C, series to (A and B) in parallel. ",,,,,,,,,,,,,,,,,,,,,
